"","Schoolname","PO"
"1","BHUSHAN HIGH SCHOOL","PO- NAWADIH, DIST-BOKARO"
"2","HIGH SCHOOL CHANDANKIYARI","PO- CHANDANKIYARI, DIST-BOKARO"
"3","HIGH SCHOOL DANTOO","PO- DANTOO, DIST-BOKARO"
"4","HIGH SCHOOL GOMIA","PO- GOMIA, DIST-BOKARO"
"5","HIGH SCHOOL PATHURIYA","PO- PATHURIYA, DIST-BOKARO"
"6","HIGH SCHOOL PETARWAR","PO- PETARWAR, DIST-BOKARO"
"7","JANTA HIGH SCHOOL PUNDRU","PO- PUNDRU, CHAS, DIST-BOKARO"
"8","K N HIGH SCHOOL HARNAD","PO- HARNAD, DIST-BOKARO"
"9","KGBV BERMO","PO- BERMO, DIST- BOKARO"
"10","KGBV CHANDANKIYARI","PO- CHANDANKIYARI, DIST-BOKARO"
